source_row_number,service_listing_id,location_id,organization_id,organization_name,service_id,service_name,taxonomy_code,taxonomy_name,description,phone,website,email,wheelchair_accessible,language,hours,address,city,province,postal_code,latitude,longitude,healthlinkbc_url,source_label,source_url
1,95230690,17636409,17636377,Loblaws,95176484,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,2507472812,https://www.loblaws.ca/en/pharmacy,,Y,English,Mon 09:00 - 18:00; Tue 09:00 - 18:00; Wed 09:00 - 18:00; Thu 09:00 - 18:00; Fri 09:00 - 18:00; Sat 09:00 - 17:00; Sun 10:00 - 17:00;,2335 Maple Drive,Quesnel,BC,V2J 7J6,52.964567,-122.442970,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95176484&SiteResourceAgencyNum=17636409,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
2,95230700,17636465,17636377,Loblaws,95176484,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,6044604335,https://www.loblaws.ca/en/pharmacy,,Y,English,Mon 09:00 - 22:00; Tue 09:00 - 22:00; Wed 09:00 - 22:00; Thu 09:00 - 22:00; Fri 09:00 - 22:00; Sat 09:00 - 19:00; Sun 09:00 - 19:00;,19800 Lougheed Highway,Pitt Meadows,BC,V3Y 2W1,49.224039,-122.672350,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95176484&SiteResourceAgencyNum=17636465,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
3,95275616,17636477,17636377,Loblaws,95176484,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,2508302730,https://www.loblaws.ca/en/pharmacy,,Y,English,Mon 08:00 - 21:00; Tue 08:00 - 21:00; Wed 08:00 - 21:00; Thu 08:00 - 21:00; Fri 08:00 - 21:00; Sat 09:00 - 19:00; Sun 09:00 - 19:00;,1424 Island Highway,Campbell River,BC,V9W 8C9,50.034460,-125.254658,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95176484&SiteResourceAgencyNum=17636477,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
4,95275620,17636461,17636377,Loblaws,95176484,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,2503905735,https://www.loblaws.ca/en/pharmacy,,N,English,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 19:00; Sun 09:00 - 19:00;,6435 Metral Drive,Nanaimo,BC,V9T 2L9,49.231833,-124.044263,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95176484&SiteResourceAgencyNum=17636461,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
5,95275632,17636430,17636377,Loblaws,95176484,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,2503818268,https://www.loblaws.ca/en/pharmacy,,Y,English,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 17:00; Sun 10:00 - 17:00;,846 Viewfield Road,Victoria,BC,V9A 4V1,48.433834,-123.396814,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95176484&SiteResourceAgencyNum=17636430,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
6,17636945,17636928,17636923,Tillicum Lelum Aboriginal Friendship Centre,17636944,Into The Circle,LT-3400,Immunizations,"Provides holistic counselling, prevention, education, treatment, and support services to individuals with communicable diseases. Services include testing, counselling and follow-up for HIV/AIDS, hepatitis C, sexually transmitted disease, and pregnancy. Also offers pap smears, emergency contraception, vaccinations, harm reduction supplies, and need exchange.",2507536578,https://www.tillicumlelum.ca/programs/health,healthcentre@tillicumlelum.ca,Y,English,,602 Haliburton Street,Nanaimo,BC,V9R 4W4,49.153051,-123.932431,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636944&SiteResourceAgencyNum=17636928,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
7,63872481,17638609,17638607,Tsawout First Nation,63872408,Community Health Services,LT-3400,Immunizations,"Offers a variety of health services and programs to members of the Tsawout First Nation community. Services include pregnancy and prenatal care, nursing services, home and community care, immunizations, diabetes care, and early childhood programs.",2506521149,https://tsawout.ca/health-department/,health@tsawout.ca,Y,English,,7728 Tetayut Road,Saanichton,BC,V8M 2E4,48.592196,-123.390643,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=63872408&SiteResourceAgencyNum=17638609,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
8,17638924,17638913,17638911,Three Corners Health Services Society,17638923,Community Wellness and Protection,LT-3400,Immunizations,"Provides prevention and control of communicable disease and environmental health issues for the community. Programs include HIV, hepatitis, and sexually transmitted infection counselling and testing, immunization clinics, and tuberculosis testing, prevention and education. Also provides programs to reduce environmental health hazards such as water quality, food safety, mold and indoor air quality.",2503989814,https://threecornershealth.org/community-wellness-and-protection/,,N,English,Mon 08:30 - 16:30; Tue 08:30 - 16:30; Wed 08:30 - 16:30; Thu 08:30 - 16:30; Fri 08:30 - 16:30; Closed for lunch 12:00 - 13:00,150 1st Avenue N,Williams Lake,BC,V2G 1Y8,52.130521,-122.145774,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638923&SiteResourceAgencyNum=17638913,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
9,17638925,17638921,17638911,Three Corners Health Services Society,17638923,Community Wellness and Protection,LT-3400,Immunizations,"Provides prevention and control of communicable disease and environmental health issues for the community. Programs include HIV, hepatitis, and sexually transmitted infection counselling and testing, immunization clinics, and tuberculosis testing, prevention and education. Also provides programs to reduce environmental health hazards such as water quality, food safety, mold and indoor air quality.",2504405822,https://threecornershealth.org/community-wellness-and-protection/,,N,English,,751 Upper Dog Creek Road,Dog Creek,BC,V0L 1J0,51.584203,-122.230414,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638923&SiteResourceAgencyNum=17638921,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
10,17638926,17638918,17638911,Three Corners Health Services Society,17638923,Community Wellness and Protection,LT-3400,Immunizations,"Provides prevention and control of communicable disease and environmental health issues for the community. Programs include HIV, hepatitis, and sexually transmitted infection counselling and testing, immunization clinics, and tuberculosis testing, prevention and education. Also provides programs to reduce environmental health hazards such as water quality, food safety, mold and indoor air quality.",2502963532,https://threecornershealth.org/community-wellness-and-protection/,,N,English,Mon 08:30 - 16:30; Tue 08:30 - 16:30; Wed 08:30 - 16:30; Thu 08:30 - 16:30; Closed for lunch 12:00 - 13:00,2780 Indian Drive,Williams Lake,BC,V2G 5K9,52.109563,-121.992788,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638923&SiteResourceAgencyNum=17638918,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
11,17638927,17638916,17638911,Three Corners Health Services Society,17638923,Community Wellness and Protection,LT-3400,Immunizations,"Provides prevention and control of communicable disease and environmental health issues for the community. Programs include HIV, hepatitis, and sexually transmitted infection counselling and testing, immunization clinics, and tuberculosis testing, prevention and education. Also provides programs to reduce environmental health hazards such as water quality, food safety, mold and indoor air quality.",2509892355,https://threecornershealth.org/community-wellness-and-protection/,,Y,English,,3405 Mountain House Road,Williams Lake,BC,V2G 5L4,55.255114,-127.678443,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638923&SiteResourceAgencyNum=17638916,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
12,17638944,17638918,17638911,Three Corners Health Services Society,17638943,Community Wellness and Protection,LT-3400,Immunizations,"Offers a variety of community-based services to maintain the health and wellness of community members. The program includes immunization and vaccine services, environmental health, HIV and STI testing, tuberculosis screening, and communicable disease outbreak control.",2502963532,https://threecornershealth.org/community-wellness-and-protection/,reception@threecornershealth.org,N,English,,2780 Indian Drive,Williams Lake,BC,V2G 5K9,52.109563,-121.992788,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638943&SiteResourceAgencyNum=17638918,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
13,17638945,17638913,17638911,Three Corners Health Services Society,17638943,Community Wellness and Protection,LT-3400,Immunizations,"Offers a variety of community-based services to maintain the health and wellness of community members. The program includes immunization and vaccine services, environmental health, HIV and STI testing, tuberculosis screening, and communicable disease outbreak control.",2503989814,https://threecornershealth.org/community-wellness-and-protection/,reception@threecornershealth.org,N,English,Mon 08:30 - 16:30; Tue 08:30 - 16:30; Wed 08:30 - 16:30; Thu 08:30 - 16:30; Fri 08:30 - 16:30; Closed for lunch 12:00 - 13:00,150 1st Avenue N,Williams Lake,BC,V2G 1Y8,52.130521,-122.145774,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638943&SiteResourceAgencyNum=17638913,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
14,17638946,17638921,17638911,Three Corners Health Services Society,17638943,Community Wellness and Protection,LT-3400,Immunizations,"Offers a variety of community-based services to maintain the health and wellness of community members. The program includes immunization and vaccine services, environmental health, HIV and STI testing, tuberculosis screening, and communicable disease outbreak control.",2504405822,https://threecornershealth.org/community-wellness-and-protection/,reception@threecornershealth.org,N,English,,751 Upper Dog Creek Road,Dog Creek,BC,V0L 1J0,51.584203,-122.230414,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638943&SiteResourceAgencyNum=17638921,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
15,17638947,17638916,17638911,Three Corners Health Services Society,17638943,Community Wellness and Protection,LT-3400,Immunizations,"Offers a variety of community-based services to maintain the health and wellness of community members. The program includes immunization and vaccine services, environmental health, HIV and STI testing, tuberculosis screening, and communicable disease outbreak control.",2509892355,https://threecornershealth.org/community-wellness-and-protection/,reception@threecornershealth.org,Y,English,,3405 Mountain House Road,Williams Lake,BC,V2G 5L4,55.255114,-127.678443,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638943&SiteResourceAgencyNum=17638916,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
16,95309804,17639308,17639306,Comox Valley Pharmacy,95309800,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,2509416685,https://comoxvalleypharmacy.ca/,info@comoxvalleypharmacy.ca,Y,English,Mon 09:00 - 18:00; Tue 09:00 - 18:00; Wed 09:00 - 18:00; Thu 09:00 - 18:00; Fri 09:00 - 18:00; Sat 12:00 - 16:00; Sun 12:00 - 16:00; Statutory holiday hours: 12:00 - 16:00,300-727 Anderton Road,Comox,BC,V9M 4A9,49.689176,-124.935261,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95309800&SiteResourceAgencyNum=17639308,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
17,95309902,17639367,17639365,Optima Pharmacy,95275065,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,6045936113,https://optimapharmacy.ca/,info@optimapharmacy.ca,Y,English,Mon 09:00 - 18:00; Tue 09:00 - 18:00; Wed 09:00 - 18:00; Thu 09:00 - 18:00; Fri 09:00 - 18:00; Sat 09:00 - 14:00;,103-6625 152A Street,Surrey,BC,V3S 0B3,49.123349,-122.800455,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95275065&SiteResourceAgencyNum=17639367,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
18,17640845,17640844,17640842,Saulteau First Nations,17640843,Nursing Services,LT-3400,Immunizations,"Registered nurse provides professional health care and health promotion. Includes vaccinations, tuberculosis testing, prenatal and postnatal care, pregnancy testing, referrals to other community resources, and diabetes prevention information that includes a foot care nurse once a month.",2507887280,https://www.saulteau.com/departments-and-services/health-centre/,,Y,English,,1717 Boucher Lake Road,Moberly Lake,BC,V0C 1X0,55.868915,-121.627743,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640843&SiteResourceAgencyNum=17640844,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
19,17640986,17640979,17640977,Skidegate First Nation,17640985,Community Health Nursing,LT-3400,Immunizations,"Provides nursing services to the community, with a main focus on perinatal and immunization services and communicable disease control. Other services include education and programs regarding healthier lifestyles, maternal and child health, prenatal, high risk infants, school safety, injury prevention, HIV/AIDS awareness, care of elders, chronic disease, general treatment clinics, and emergency/after hour services. The community health nurse works closely with children in the community through educational sessions, immunizations, as well as prenatal, and teen health programs.",2505594610,https://www.facebook.com/people/Skidegate-Health-Centre/100057412031816/,,N,English,,156 2nd Avenue,Skidegate,BC,V0T 1S1,53.265189,-131.991813,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640985&SiteResourceAgencyNum=17640979,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
20,17641129,17641122,17641120,Simpcw First Nation,17641128,Community Health Services,LT-3400,Immunizations,"Offers a variety of health services and programs to members of the Simpcw First Nation. Services include general checkups and wellness, nursing services, pregnancy and postnatal care, chronic disease management, family services and outreach, and Elders support.",2506729925,https://simpcw.com/health/,Health.Clerk@simpcw.com,Y,English,Mon 08:00 - 16:00; Tue 08:00 - 16:00; Wed 08:00 - 16:00; Thu 08:00 - 16:00; Fri 08:00 - 16:00; Sat 08:00 - 16:00; Sun 08:00 - 16:00;,7555 Dunn Lake Road,Chu Chua,BC,V0E 1E0,51.316986,-120.149486,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17641128&SiteResourceAgencyNum=17641122,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
21,17641133,17641132,17641130,Xat'sull First Nations,17641131,Community Health Nurse,LT-3400,Immunizations,"Provides testing, counselling, and prevention education for HIV, hepatitis, and sexually transmitted infections. Also offers general health examinations and referrals, immunizations, pregnancy and postnatal care, and tuberculosis screening and education.",2509892355,https://www.xatsull.com/departments/health/,healthreceptionist@xatsull.com,Y,English,Mon 08:30 - 16:30; Tue 08:30 - 16:30; Wed 08:30 - 16:30; Thu 08:30 - 16:30; Fri 08:30 - 16:30; Health nurse available Mon and Thu 11:00 - 15:30; closed for lunch daily 12:00 - 13:00,3405 Mountain House Road,Williams Lake,BC,V2G 5L4,52.280441,-122.144734,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17641131&SiteResourceAgencyNum=17641132,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
22,17641133,17641132,17641130,Xat'sull First Nations,17641131,Community Health Nurse,LT-3400.2000,Flu Vaccines,"Provides testing, counselling, and prevention education for HIV, hepatitis, and sexually transmitted infections. Also offers general health examinations and referrals, immunizations, pregnancy and postnatal care, and tuberculosis screening and education.",2509892355,https://www.xatsull.com/departments/health/,healthreceptionist@xatsull.com,Y,English,Mon 08:30 - 16:30; Tue 08:30 - 16:30; Wed 08:30 - 16:30; Thu 08:30 - 16:30; Fri 08:30 - 16:30; Health nurse available Mon and Thu 11:00 - 15:30; closed for lunch daily 12:00 - 13:00,3405 Mountain House Road,Williams Lake,BC,V2G 5L4,52.280441,-122.144734,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17641131&SiteResourceAgencyNum=17641132,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
23,95275637,17641592,17641576,Thrifty Foods,95176487,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,2508503585,https://www.thriftyfoods.com/pharmacy-and-wellness/pharmacy,,Y,English,Mon 08:00 - 18:00; Tue 08:00 - 18:00; Wed 08:00 - 18:00; Thu 08:00 - 18:00; Fri 08:00 - 18:00; Sat 09:00 - 17:00; Closed statutory holidays,1400 Ironwood Street,Campbell River,BC,V9W 5T5,50.028568,-125.254962,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95176487&SiteResourceAgencyNum=17641592,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
24,95275639,17641598,17641576,Thrifty Foods,95176487,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,2503315103,https://www.thriftyfoods.com/pharmacy-and-wellness/pharmacy,,Y,English,Mon 09:00 - 19:00; Tue 09:00 - 19:00; Wed 09:00 - 19:00; Thu 09:00 - 19:00; Fri 09:00 - 19:00; Sat 09:00 - 17:00; Sun 09:00 - 17:00; Statutory holiday hours: 09:00 - 17:00,444 Lerwick Road,Courtenay,BC,V9N 0A9,49.710351,-124.965701,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95176487&SiteResourceAgencyNum=17641598,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
25,95328670,95328634,17641606,Common Good Pharmacy,95328664,Pharmacy Services - HPV Vaccine,LT-3400.3100,HPV Immunizations,The HPV vaccine is safe and effective at preventing cancers caused by the Human Papillomavirus (HPV). The HPV vaccines are given as a series of either 2 or 3 doses over a 6 month period and can be given at many pharmacies throughout B.C. Supply of the HPV vaccine is guaranteed to be available at this location.,7787950529,https://commongoodpharmacy.ca/,,Y,English,Mon 09:00 - 17:30; Tue 09:00 - 17:30; Wed 09:00 - 17:30; Thu 09:00 - 17:30; Fri 09:00 - 17:30; Sat 09:00 - 13:00;,105-3610 Carrington Road,Westbank,BC,V4T 3K7,49.834673,-119.615696,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=95328664&SiteResourceAgencyNum=95328634,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
26,17643251,17643250,17643248,Nisga'a Valley Health Authority,17643249,Public Health Services,LT-3400.2000,Flu Vaccines,"Provides a public health program to improve the health of Nisga'a citizens. Services include immunization, TB screening, prenatal and healthy baby programs, injury prevention, sexual health education, and chronic disease prevention and treatment.",18882332212,https://nisgaahealth.bc.ca/public-health/,,Y,English,Mon 08:30 - 17:00; Tue 08:30 - 17:00; Wed 08:30 - 17:00; Thu 08:30 - 17:00; Fri 08:30 - 17:00; Closed for lunch 12:00 - 13:00,4920 Tait Avenue,Aiyansh,BC,V0J 1A0,55.199925,-129.077673,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17643249&SiteResourceAgencyNum=17643250,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
27,54177703,17643258,17643248,Nisga'a Valley Health Authority,17643249,Public Health Services,LT-3400.2000,Flu Vaccines,"Provides a public health program to improve the health of Nisga'a citizens. Services include immunization, TB screening, prenatal and healthy baby programs, injury prevention, sexual health education, and chronic disease prevention and treatment.",18009915671,https://nisgaahealth.bc.ca/public-health/,,Y,English,Mon 08:30 - 17:00; Tue 08:30 - 17:00; Wed 08:30 - 17:00; Thu 08:30 - 17:00; Fri 08:30 - 17:00; Closed for lunch 12:00 - 13:00,1201 Fireman Street,Kincolith,BC,V0V 1B0,54.994611,-129.956952,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17643249&SiteResourceAgencyNum=17643258,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
28,54177705,17643256,17643248,Nisga'a Valley Health Authority,17643249,Public Health Services,LT-3400.2000,Flu Vaccines,"Provides a public health program to improve the health of Nisga'a citizens. Services include immunization, TB screening, prenatal and healthy baby programs, injury prevention, sexual health education, and chronic disease prevention and treatment.",18009915667,https://nisgaahealth.bc.ca/public-health/,,Y,English,Mon 08:30 - 17:00; Tue 08:30 - 17:00; Wed 08:30 - 17:00; Thu 08:30 - 17:00; Fri 08:30 - 17:00; Closed for lunch 12:00 - 13:00,412 North Road,Greenville,BC,V0J 1X0,55.032219,-129.579975,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17643249&SiteResourceAgencyNum=17643256,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
