facility_name,health_authority,address,locality,province,postal_code,latitude,longitude,source_label,source_url,verification_status,notes
Abbotsford Regional Hospital And Cancer Centre,Fraser Health,32900 Marshall Rd,Abbotsford,BC,V2S 0C2,49.0368448,-122.3134383,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre,geocoded_needs_review,"Matched source facility name: Abbotsford Regional Hospital and Cancer Centre. BC Geocoder matched 32900 Marshall Rd, Abbotsford, BC score=99 precision=CIVIC_NUMBER."
B.C. Cancer Agency,Provincial Health Services Authority,600 W 10th Ave,Vancouver,BC,V5Z 4E6,49.2617877,-123.1187451,BC Cancer Vancouver centre page,https://www.bccancer.bc.ca/our-services/centres-clinics/bc-cancer-vancouver,geocoded_needs_review,"Wait-times legacy label appears to correspond to BC Cancer - Vancouver. BC Geocoder matched 600 W 10th Ave, Vancouver, BC score=99 precision=CIVIC_NUMBER."
B.C. Children's Hospital,Provincial Health Services Authority,4500 Oak St,Vancouver,BC,V6H 3N1,49.2443202,-123.1240727,HealthLinkBC hospitals CSV,https://www.bcchildrens.ca/,geocoded_needs_review,"Matched source facility name: BC Children's Hospital. BC Geocoder matched 4500 Oak St, Vancouver, BC score=99 precision=CIVIC_NUMBER."
B.C. Women's Hospital,Provincial Health Services Authority,4500 Oak St,Vancouver,BC,V6H 3N1,49.2443202,-123.1240727,BC Women's Hospital contact page,https://www.bcwomens.ca/about/contact,geocoded_needs_review,"Official BC Women's contact page lists address and phone. BC Geocoder matched 4500 Oak St, Vancouver, BC score=99 precision=CIVIC_NUMBER."
Bulkley Valley District Hospital,Northern Health,3950 8th Ave,Smithers,BC,V0J 2N0,54.7846100,-127.1622546,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/bulkley-valley-district-hospital,geocoded_needs_review,"BC Geocoder matched 3950 8th Ave, Smithers, BC score=99 precision=CIVIC_NUMBER."
Burnaby Hospital,Fraser Health,3935 Kincaid St,Burnaby,BC,V5G 2X6,49.2496950,-123.0148833,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Burnaby/burnaby-hospital#.W1jxFdVKhEY,geocoded_needs_review,"BC Geocoder matched 3935 Kincaid St, Burnaby, BC score=99 precision=CIVIC_NUMBER."
Campbell River And District General Hospital,Vancouver Island Health,375 2nd Ave,Campbell River,BC,V9W 3V1,50.0097537,-125.2443122,HealthLinkBC hospitals CSV,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/north-island-hospital-campbell-river-district,geocoded_needs_review,"Matched source facility name: North Island Hospital Campbell River and District. BC Geocoder matched 375 2nd Ave, Campbell River, BC score=99 precision=CIVIC_NUMBER."
Cariboo Memorial Hospital,Interior Health,517 6th Ave N,Williams Lake,BC,V2G 2G8,52.1374920,-122.1440298,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/cariboo-memorial-hospital,geocoded_needs_review,"Matched source facility name: Cariboo Memorial Hospital and Health Centre. BC Geocoder matched 517 6th Ave N, Williams Lake, BC score=99 precision=CIVIC_NUMBER."
Centre Island Surgical Centre,Vancouver Island Health,1179 Seafield Cres,Nanaimo,BC,V9S 4S1,49.1828570,-123.9686416,Island Health facility page,https://www.islandhealth.ca/our-locations/ambulatory-day-surgery-locations/centre-island-surgical-centre-cisc,geocoded_needs_review,"Official Island Health page lists CISC address. BC Geocoder matched 1179 Seafield Cres, Nanaimo, BC score=96 precision=CIVIC_NUMBER."
Chilliwack General Hospital,Fraser Health,45600 Menholm Rd,Chilliwack,BC,V2P 1P7,49.1668449,-121.9638045,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Chilliwack/chilliwack-general-hospital,geocoded_needs_review,"BC Geocoder matched 45600 Menholm Rd, Chilliwack, BC score=99 precision=CIVIC_NUMBER."
