canonical_name,place_type,place_status,health_authority,address,locality,province,postal_code,latitude,longitude,source_label,source_url,verification_status,source_datasets,aliases,notes
100 Mile District General Hospital,hospital,physical_place,,555 cedar ave. 100 mile house bc v0k 2e0,100 mile house,BC,V0K 2E0,51.6376711,-121.2930534,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,100 Mile District General Hospital,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general).
100 Mile House General Hospital,hospital,physical_place,,555 Cedar Ave,100 Mile House,BC,V0K 2E0,51.6393044,-121.2928598,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/100-mile-district-general-hospital,verified,bc_msp_blue_book|manual_enrichment,100 Mile House General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $4,888,257.64. MSP payee uses House/General; HealthLinkBC and Interior Health current name is 100 Mile District General Hospital. BC Geocoder matched 555 Cedar Ave, 100 Mile House, BC score=97 precision=CIVIC_NUMBER."
Abbotsford Regional Hospital and Cancer Care,hospital,physical_place,,2179 mccallum rd. abbotsford bc v2s 3p1,abbotsford,BC,V2S 3P1,49.041893,-122.29513600000001,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Abbotsford Regional Hospital and Cancer Care,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general).
Abbotsford Regional Hospital And Cancer Centre,hospital,physical_place,Fraser Health,32900 Marshall Rd,Abbotsford,BC,V2S 0C2,49.0368448,-122.3134383,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre,geocoded_needs_review,bc_msp_blue_book|bc_wait_times|statcan_odhf,Abbotsford Regional Hospital & Cancer Centre|Abbotsford Regional Hospital and Cancer Centre|Abbotsford Regional Hospital And Cancer Centre,"Matched source facility name: Abbotsford Regional Hospital and Cancer Centre. BC Geocoder matched 32900 Marshall Rd, Abbotsford, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $105,211,026.72. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: cancer)."
Arrow Lakes Hospital,hospital,physical_place,,97 1st Ave NE,Nakusp,BC,V0G 1R0,50.2390357,-117.7957294,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/arrow-lakes-hospital,verified,bc_msp_blue_book|manual_enrichment|statcan_odhf,Arrow Lakes Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,337,682.28. BC Geocoder matched 97 1st Ave NE, Nakusp, BC score=98 precision=BLOCK. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
Arrow Lakes Hospital In-Patient Care Fund,hospital,physical_place,,97 1st Ave NE,Nakusp,BC,V0G 1R0,50.2390357,-117.7957294,Interior Health location page,https://www.interiorhealth.ca/locations/arrow-lakes-hospital,verified,bc_msp_blue_book|manual_enrichment,Arrow Lakes Hospital In-Patient Care Fund,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2023/2024 to 2023/2024, total payments $32,850.00. Payee alias/fund for Arrow Lakes Hospital; user-provided context confirms this fund corresponds to Arrow Lakes Hospital. BC Geocoder matched 97 1st Ave NE, Nakusp, BC score=98 precision=BLOCK."
Ashcroft & District General Hospital,hospital,physical_place,,700 Hwy 97C,Ashcroft,BC,V0K 1A0,50.7348426,-121.2802423,Interior Health location page,https://www.interiorhealth.ca/locations/ashcroft-community-health-centre,verified,bc_msp_blue_book|manual_enrichment,Ashcroft & District General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,303,639.03. Official Interior Health page identifies 700 Ash-Cache Creek Hwy as the old Ashcroft Hospital & Community Health Care Centre site; now Ashcroft Community Health Centre/UPCC. BC Geocoder matched 700 Hwy 97C, Ashcroft, BC score=99 precision=CIVIC_NUMBER."
Ashcroft and District Hospital and Community Health Centre,hospital,physical_place,,700 ash ashcroft bc v0k 1a0,ashcroft,BC,V0K 1A0,50.7347718,-121.2801628,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Ashcroft and District Hospital and Community Health Centre,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general).
B.C. Cancer Agency,hospital,physical_place,Provincial Health Services Authority,600 W 10th Ave,Vancouver,BC,V5Z 4E6,49.2617877,-123.1187451,BC Cancer Vancouver centre page,https://www.bccancer.bc.ca/our-services/centres-clinics/bc-cancer-vancouver,geocoded_needs_review,bc_wait_times|statcan_odhf,B.C. Cancer Agency|Bc Cancer Agency,"Wait-times legacy label appears to correspond to BC Cancer - Vancouver. BC Geocoder matched 600 W 10th Ave, Vancouver, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: active acute hospital)."
B.C. Children's Hospital,hospital,physical_place,Provincial Health Services Authority,4500 Oak St,Vancouver,BC,V6H 3N1,49.2443202,-123.1240727,HealthLinkBC hospitals CSV,https://www.bcchildrens.ca/,geocoded_needs_review,bc_msp_blue_book|bc_wait_times,B.C. Children's Hospital|BC Children's Hospital,"Matched source facility name: BC Children's Hospital. BC Geocoder matched 4500 Oak St, Vancouver, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $80,870,540.03."
