canonical_name,place_type,place_status,verification_status,source_datasets,aliases,notes
ABC MEDICAL CLINIC,clinic,physical_place,needs_review,bc_msp_blue_book,ABC MEDICAL CLINIC|ABC Medical Clinic,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2018/2019 to 2020/2021, total payments $2,951,517.98. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2021/2022 to 2022/2023, total payments $2,122,979.01."
Gold River Health Clinic,clinic,physical_place,needs_review,bc_msp_blue_book,Gold River Health Clinic,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2014/2015 to 2024/2025, total payments $226,168.15."
MacKenzie Family Clinic - Locums,clinic,physical_place,needs_review,bc_msp_blue_book,MacKenzie Family Clinic - Locums,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $135,269.54."
New Denver Clinic,clinic,physical_place,needs_review,bc_msp_blue_book,New Denver Clinic,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2019/2020 to 2022/2023, total payments $140,864.73."
NEW DENVER CLINIC - LOCUMS,clinic,physical_place,needs_review,bc_msp_blue_book,NEW DENVER CLINIC - LOCUMS,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2018/2019 to 2018/2019, total payments $31,494.71."
NHA Tumbler Ridge Medical Clinic,clinic,physical_place,needs_review,bc_msp_blue_book,NHA Tumbler Ridge Medical Clinic,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2023/2024 to 2023/2024, total payments $37,707.44."
Village Medical Clinic,clinic,physical_place,needs_review,bc_msp_blue_book,Village Medical Clinic,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2018/2019 to 2018/2019, total payments $38,628.36."
Aberdeen Medical Centre Laboratory,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Aberdeen Medical Centre Laboratory,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $1,199,571.70. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Chetwynd Centre Med CL,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Chetwynd Centre Med CL|Chetwynd Centre Med Cl,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $47,450.00. Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2015/2016 to 2015/2016, total payments $47,450.00. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Houston Health Care,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Houston Health Care,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,002,846.73. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Kirschner Medical,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Kirschner Medical,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2018/2019 to 2020/2021, total payments $401,624.97. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Lake Country Medical,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Lake Country Medical,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2017/2018 to 2019/2020, total payments $235,000.00. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Peninsula General Practice Group,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Peninsula General Practice Group,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2018/2019, total payments $1,022,600.00. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Port Hardy Physicians,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Port Hardy Physicians,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2014/2015 to 2023/2024, total payments $407,282.54. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
South Similkameen Health,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,South Similkameen Health,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $726,885.43. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Spectrum Health Care,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Spectrum Health Care,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $38,283,352.08. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
The Medical Centre,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,The Medical Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2014/2015 to 2021/2022, total payments $258,022.44. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Vancouver Family Practice,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Vancouver Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 8 row(s), 2017/2018 to 2024/2025, total payments $25,386,523.44. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Westside Medical Associates,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Westside Medical Associates,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2017/2018 to 2018/2019, total payments $122,585.00. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
