canonical_name,place_type,place_status,verification_status,source_datasets,aliases,notes
Greater Victoria Hospitals,hospital,rollup_multi_site,verified,bc_wait_times|manual_enrichment,Greater Victoria Hospitals,"Reporting roll-up rather than a single facility address; Island Health lists South Island surgical hospitals including Victoria General Hospital, Royal Jubilee Hospital, and Saanich Peninsula Hospital. Imported from bc_wait_times/facility_locations.csv. Rollup/multi-site label; do not map to one point. User-provided context identifies component facilities as Royal Jubilee Hospital (1952 Bay St, Victoria) and Victoria General Hospital (1 Hospital Way, View Royal). Parent row now has child site rows in health_place_sites.csv for Royal Jubilee Hospital and Victoria General Hospital."
North Island Hospital,hospital,rollup_multi_site,verified,bc_msp_blue_book|manual_enrichment,North Island Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $18,575,596.06. Rollup/multi-site label; do not map to one point. Island Health describes the North Island Hospitals Project as two new hospitals: Comox Valley (101 Lerwick Rd, Courtenay) and Campbell River (375 2nd Avenue, Campbell River). Parent row now has child site rows in health_place_sites.csv for North Island Hospital - Campbell River and District and North Island Hospital - Comox Valley."
Granville Allergy Lab Ltd.,diagnostic_facility,multi_site,verified,bc_msp_blue_book|manual_enrichment,Granville Allergy Lab Ltd.,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2018/2019, total payments $248,027.37. Official 2019 pulmonary function list shows GRANVILLE ALLERGY LAB LTD. under Dr Donald Stark at multiple approved locations including Delta Gibsons Prince George and Vancouver; do not force to one point."
"Greig Associates X-ray, Ultrasound and Mammography Inc.",diagnostic_facility,multi_site,verified,bc_msp_blue_book|manual_enrichment,"Greig Associates X-ray, Ultrasound and Mammography Inc.","Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $14,625,553.03. Official list names GREIG ASSOC X-RAY & ULTRASOUND at 219 - 650 W 41st Ave and 5732 Victoria Dr in Vancouver; corporate payee covers multiple approved sites."
"Grieg Associates X-ray, Ultrasound and Mammography Inc.",diagnostic_facility,multi_site,verified,bc_msp_blue_book|manual_enrichment,"Grieg Associates X-ray, Ultrasound and Mammography Inc.","Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $72,372,380.86. Canonical row appears to be a misspelling of Greig Associates; official list names GREIG ASSOC X-RAY & ULTRASOUND at 219 - 650 W 41st Ave and 5732 Victoria Dr in Vancouver."
Lindsay Diagnostic Imaging Services Inc,diagnostic_facility,multi_site,verified,bc_msp_blue_book|manual_enrichment,Lindsay Diagnostic Imaging Services Inc|Lindsay Diagnostic Imaging Services Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $6,200,795.62. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $820,453.07. Company site states Lindsay Diagnostic Imaging Services Inc. operates two clinics: Kamloops Downtown X-ray Clinic at 107 - 450 Lansdowne Street and Cranbrook Baker Street Diagnostics at 265 - 1311 2 Street N; do not force to one point."
North Shore Medical Imaging Inc,diagnostic_facility,multi_site,verified,bc_msp_blue_book|manual_enrichment,North Shore Medical Imaging Inc|North Shore Medical Imaging Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $60,754,261.79. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $11,641,675.89. Official lists show North Shore Medical Imaging at multiple approved sites including 139 West 16th Street North Vancouver 38117 2nd Ave Squamish and 110 - 575 16th Street West Vancouver; do not force to one point."
Valley Medical Laboratories,diagnostic_facility,multi_site,verified,bc_msp_blue_book|manual_enrichment,Valley Medical Laboratories,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2020/2021 to 2024/2025, total payments $86,093,394.12. Dynacare states Valley Medical Laboratories has a network of 14 locations across the Okanagan Valley; Valley Medical contact page lists a Kelowna head office but the MSP payee is a multi-location laboratory operator"
West Coast Medical Imaging Inc,diagnostic_facility,multi_site,verified,bc_msp_blue_book|manual_enrichment,West Coast Medical Imaging Inc,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $270,784,668.72. Official radiology list shows West Coast Medical Imaging at many approved sites across Burnaby Coquitlam New Westminster Sooke Surrey Vancouver and Victoria; do not force to one point."
Abbotsford Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Abbotsford Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $995,575.64. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
ACL Medical Corporation GPSC In-Patient Incentives,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,ACL Medical Corporation GPSC In-Patient Incentives,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2014/2015 to 2023/2024, total payments $474,760.00. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Barriere & District Health Society,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Barriere & District Health Society,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $472,167.64. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
C A L Medical Services Limited,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,C A L Medical Services Limited,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $25,862.64. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Campbell River & District Div Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Campbell River & District Div of Family Practice|Campbell River & District Div Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $182,500.00. Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2015/2016 to 2015/2016, total payments $182,500.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Campbell River & District Division of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Campbell River & District Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $1,552,750.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Canadian Medical Protective Association Rebate Program,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Canadian Medical Protective Association Rebate Program,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $552,407,000.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Case Deena & Stuckey Michael Medical Corporation,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Case Deena & Stuckey Michael Medical Corporation,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2023/2024 to 2023/2024, total payments $26,228.26. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Central Interior Rural Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Central Interior Rural Division Of Family Practice|Central Interior Rural Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $386,900.00. Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $1,645,915.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
