payee_name,first_fiscal_year,latest_fiscal_year,rows,total_amount
"ACL Medical Corporation GPSC In-Patient Incentives",2014/2015,2023/2024,10,474760.0
"Abbotsford Division Of Family Practice",2014/2015,2015/2016,2,995575.64
"Aberdeen Medical Centre Laboratory",2021/2022,2024/2025,4,1199571.7
"Ashcroft Family Medical Practice",2017/2018,2021/2022,3,141671.76
"Barriere & District Health Society",2014/2015,2024/2025,11,472167.64
"Brookswood Family Practice",2014/2015,2024/2025,11,13617874.12
"C A L Medical Services Limited",2024/2025,2024/2025,1,25862.64
"CGB Medical",2017/2018,2024/2025,8,864750.9
"Campbell River & District Div Of Family Practice",2014/2015,2014/2015,1,182500.0
"Campbell River & District Div of Family Practice",2015/2016,2015/2016,1,182500.0
"Campbell River & District Division of Family Practice",2016/2017,2024/2025,9,1552750.0
"Canadian Medical Protective Association Rebate Program",2014/2015,2024/2025,11,552407000.0
"Capri Medical Centre",2019/2020,2024/2025,5,543057.92
"Capri Medical Centre Inc.",2017/2018,2020/2021,3,253416.0
"Case Deena & Stuckey Michael Medical Corporation",2023/2024,2023/2024,1,26228.26
"Castlegar & District Community Health Centre",2014/2015,2024/2025,11,4589285.64
"Central Interior Rural Division Of Family Practice",2014/2015,2015/2016,2,386900.0
"Central Interior Rural Division of Family Practice",2016/2017,2024/2025,9,1645915.0
"Chase & District Health Society",2014/2015,2024/2025,10,759204.85
"Chemainus Health Care Centre",2014/2015,2024/2025,11,2260871.82
"Chetwynd Centre Med CL",2014/2015,2014/2015,1,47450.0
"Chetwynd Centre Med Cl",2015/2016,2015/2016,1,47450.0
"Chilliwack Division of Family Practice",2021/2022,2024/2025,4,933305.0
"Comox Valley Division Of Family Practice",2014/2015,2014/2015,1,219000.0
"Comox Valley Division of Family Practice",2015/2016,2024/2025,10,2082300.0
"Continuing Medical Education Fund",2014/2015,2024/2025,11,255618935.0
"Cormorant Island Health Centre",2014/2015,2021/2022,8,303808.42
"Cowichan Valley Division Of Family Practice",2014/2015,2015/2016,2,438000.0
"Cowichan Valley Division of Family Practice",2016/2017,2024/2025,9,1863300.0
"Cowichan Valley Health-Care Society",2014/2015,2018/2019,5,21785881.46
"Dr. Thomas C Woods Inc.",2024/2025,2024/2025,1,42228.59
"Drs Rebecca Lindley & Jeremy Coward Physicians Inc.",2014/2015,2014/2015,1,30032.54
"East Kootenay Division Of Family Practice",2014/2015,2014/2015,1,343100.0
"East Kootenay Division of Family Practice",2015/2016,2024/2025,10,2896770.0
"Elkford Health Care Centre Society",2014/2015,2015/2016,2,71909.94
"Elkford Health Care Centre Society, The",2016/2017,2024/2025,9,262256.06
"FHA Chilliwack Division Of Family Practice",2014/2015,2014/2015,1,510418.83
"FHA Jim Pattison Outpatient Care & Surgery Center",2014/2015,2015/2016,2,17042707.78
"FHA Jim Pattison Outpatient Care & Surgery Centre",2016/2017,2020/2021,5,47364924.18
"FHA-Chilliwack Division Of Family Practice",2015/2016,2015/2016,1,331802.56
"FHA-Chilliwack Division of Family Practice",2016/2017,2020/2021,5,1333710.0
"Family Practice Services Committee",2022/2023,2024/2025,3,332823296.31
"Fort Family Practice Associates",2014/2015,2024/2025,11,30850694.33
"Fort St John Family Practice Associates",2016/2017,2024/2025,9,24694813.51
"Four Oaks Medical Associates",2014/2015,2024/2025,11,17760407.04
"Fraser Lake Diagnosis & Treatment Centre",2014/2015,2024/2025,11,446951.63
"General Practice Services Committee",2018/2019,2021/2022,4,369046373.0
"Group One Medical",2017/2018,2024/2025,8,762187.9
"Health Employers Association of British Columbia",2014/2015,2024/2025,11,31964459.14
"Houston Health Care",2014/2015,2024/2025,11,1002846.73
"James Samuel Gosnell Memorial Health Centre",2015/2016,2018/2019,4,156750.83
