canonical_name,place_type,source_datasets,aliases,notes
100 Mile House General Hospital,hospital,bc_msp_blue_book,100 Mile House General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $4,888,257.64."
Arrow Lakes Hospital,hospital,bc_msp_blue_book,Arrow Lakes Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,337,682.28."
Arrow Lakes Hospital In-Patient Care Fund,hospital,bc_msp_blue_book,Arrow Lakes Hospital In-Patient Care Fund,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2023/2024 to 2023/2024, total payments $32,850.00."
Ashcroft & District General Hospital,hospital,bc_msp_blue_book,Ashcroft & District General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,303,639.03."
Bella Coola General Hospital,hospital,bc_msp_blue_book,Bella Coola General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,019,817.44."
Boundary Hospital,hospital,bc_msp_blue_book,Boundary Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $4,156,715.16."
British Columbia Women's Hospital,hospital,bc_msp_blue_book,British Columbia Women's Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2014/2015 to 2019/2020, total payments $2,497,558.51."
Burns Lake & District Hospital,hospital,bc_msp_blue_book,Burns Lake & District Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $3,428,843.62."
Chetwynd General Hospital,hospital,bc_msp_blue_book,Chetwynd General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,820,083.61."
Chilliwack Hospital,hospital,bc_msp_blue_book,Chilliwack Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $46,669,432.54."
