canonical_name,place_type,source_datasets,aliases,notes
First Nations Health Authority,health_authority,bc_msp_blue_book,First Nations Health Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2015/2016 to 2024/2025, total payments $6,896,207.52."
Fraser Health Authority,health_authority,bc_msp_blue_book,Fraser Health Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,002,793,021.82."
Interior Health Authority,health_authority,bc_msp_blue_book,Interior Health Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $749,932,337.03."
Nisga'a Valley Health Authority,health_authority,bc_msp_blue_book,Nisga'a Valley Health Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $14,764,278.20."
Northern Health Authority,health_authority,bc_msp_blue_book,Northern Health Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $507,729,676.08."
Vancouver Coastal Health Authority,health_authority,bc_msp_blue_book,Vancouver Coastal Health Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,930,682,062.42."
Vancouver Island Health Authority,health_authority,bc_msp_blue_book,Vancouver Island Health Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $913,381,006.40."
Abbotsford Division Of Family Practice,organization,bc_msp_blue_book,Abbotsford Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $995,575.64."
Aberdeen Medical Centre Laboratory,organization,bc_msp_blue_book,Aberdeen Medical Centre Laboratory,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $1,199,571.70."
ACL Medical Corporation GPSC In-Patient Incentives,organization,bc_msp_blue_book,ACL Medical Corporation GPSC In-Patient Incentives,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2014/2015 to 2023/2024, total payments $474,760.00."
