odhf_index,facility_name,source_facility_type,odhf_facility_type,provider,address,postal_code,city,province,csd_name,csd_uid,latitude,longitude,source_url
1000,Kimbelee Place,,Nursing and residential care facilities,Province of British Columbia,12935 96th ave surrey bc v3v 7k6,V3V 7K6,surrey,BC,Surrey,5915004.0,49.177417999999996,-122.86411799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1001,Kimberley Special Care Home,,Nursing and residential care facilities,Province of British Columbia,386 2 ave kimberley bc v1a 2z6,V1A 2Z6,kimberley,BC,Kimberley,5901028.0,49.6899979,-115.9896466,https://www.statcan.gc.ca/en/lode/databases/odhf
1002,Kinetic Energy Health and Wellness Centre,,Ambulatory health care services,Province of British Columbia,207-450 lansdowne street kamloops bc v2c 1y4,V2C 1Y4,kamloops,BC,Kamloops,5933042.0,50.67706,-120.3295,https://www.statcan.gc.ca/en/lode/databases/odhf
1003,King Edward House,,Nursing and residential care facilities,Province of British Columbia,820 e king edward ave vancouver bc v5v 2e4,V5V 2E4,vancouver,BC,Vancouver,5915022.0,49.2483529,-123.08704479999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1004,Kingfisher Place,,Nursing and residential care facilities,Province of British Columbia,4328 crystal drive vernon bc v1t 8v5,V1T 8V5,vernon,BC,Vernon,5937014.0,50.2761527,-119.2445371,https://www.statcan.gc.ca/en/lode/databases/odhf
1005,Kinghaven Treatment Centre,,Nursing and residential care facilities,Province of British Columbia,31250 king rd abbotsford bc v2t 6c2,V2T 6C2,abbotsford,BC,Abbotsford,5909052.0,49.0307485,-122.358792,https://www.statcan.gc.ca/en/lode/databases/odhf
1006,Kings House,,Nursing and residential care facilities,Province of British Columbia,8512 164th st surrey bc v4n 1e5,V4N 1E5,surrey,BC,Surrey,5915004.0,49.157599,-122.76725400000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1007,Kinsmen Lodge,,Nursing and residential care facilities,Province of British Columbia,9650 137a st surrey bc v3t 4h9,V3T 4H9,surrey,BC,Surrey,5915004.0,49.1777346,-122.84179950000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1009,Kinvillage,,Nursing and residential care facilities,Province of British Columbia,5410 10th ave delta bc v4m 3x8,V4M 3X8,delta,BC,Delta,5915011.0,49.0214852,-123.07364799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1012,Kitimat Hospital & Health Centre,general,Hospitals,Public Health Agency of Canada,920 lahakas blvd. s. kitimat bc v8c 2s3,V8C 2S3,kitimat,BC,Kitimat,5949005.0,54.0504835,-128.6472372,https://www.statcan.gc.ca/en/lode/databases/odhf
